#,山,標高,初登頂日,回数
1,利尻岳,1719m,2018/06/21,1
2,羅臼岳,1661m,2017/09/09,1
3,斜里岳,1547m,2017/09/10,1
4,阿寒岳,1499m,2017/09/11,1
5,大雪山,2290m,2019/07/12,1
6,トムラウシ山,2141m,2019/07/14,1
7,十勝岳,2077m,2019/07/15,1
8,幌尻岳,2052m,2019/07/18,1
9,後方羊蹄山,1893m,2018/06/18,1
10,岩木山,1625m,2016/05/03,1
11,八甲田山,1585m,2016/07/23,1
12,八幡平,1613m,2017/05/04,1
13,岩手山,2038m,2017/05/03,1
14,早池峰山,1917m,2016/07/24,1
15,鳥海山,2236m,2016/09/24,1
16,月山,1980m,2016/09/25,2
17,朝日連峰,1870m,2017/07/30,1
18,蔵王山,1841m,2016/03/04,2
19,飯豊連峰,2105m,2017/08/27,1
20,吾妻山,2035m,2016/07/10,1
21,安達太良山,1700m,2016/03/05,1
22,磐梯山,1819m,2016/08/28,1
23,会津駒ケ岳,2132m,2016/06/18,1
24,那須岳,1915m,2015/06/26,1
25,筑波山,877m,2014/10/24,4
26,燧ケ岳,2356m,2015/07/04,2
27,至仏山,2228m,2015/07/05,1
28,武尊山,2158m,2015/09/25,1
29,赤城山,1828m,2015/09/26,1
30,男体山,2486m,2015/07/25,2
31,日光白根山,2578m,2015/07/26,1
32,皇海山,2144m,2017/05/21,1
33,越後駒ケ岳,2003m,2017/08/20,1
34,平ヶ岳,2141m,2017/09/03,1
35,巻機山,1967m,2016/05/08,2
36,谷川岳,1963m,2015/04/25,2
37,雨飾山,1963m,2016/07/16,1
38,苗場山,2145m,2017/06/24,1
39,妙高山,2446m,2015/10/24,2
40,火打山,2462m,2015/10/23,1
41,高妻山,2353m,2016/05/14,1
42,草津白根山,2165m,2016/05/28,1
43,四阿山,2354m,2016/02/12,1
44,浅間山,2568m,2018/11/04,1
45,両神山,1723m,2015/04/18,1
46,甲武信岳,2475m,2016/04/10,2
47,金峰山,2595m,2015/06/12,1
48,瑞牆山,2230m,2015/06/13,1
49,雲取山,2017m,2015/09/16,2
50,大菩薩嶺,2057m,2015/05/10,1
51,丹沢,1567m,2014/11/01,2
52,富士山,3776m,2014/08/07,2
53,天城山,1406m,2015/11/07,1
54,白馬岳,2932m,2017/05/27,2
55,五竜岳,2814m,2017/07/16,1
56,鹿島槍ヶ岳,2890m,2017/07/15,1
57,剱岳,2999m,2017/08/06,1
58,立山,3015m,2017/08/05,1
59,薬師岳,2926m,2016/08/11,1
60,黒部五郎岳,2840m,2016/08/12,1
61,水晶岳,2978m,2016/08/13,1
62,鷲羽岳,2924m,2016/08/13,2
63,槍ヶ岳,3180m,2017/07/08,2
64,穂高岳,3190m,2017/07/22,3
65,常念岳,2857m,2016/09/10,2
66,笠ヶ岳,2897m,2016/10/15,1
67,焼岳,2444m,2016/07/02,1
68,乗鞍岳,3026m,2016/07/02,1
69,美ヶ原,2034m,2016/08/06,1
70,霧ヶ峰,1925m,2016/05/22,1
71,蓼科山,2530m,2016/08/07,1
72,赤岳,2899m,2015/05/22,2
73,御嶽山,3067m,2018/09/28,1
74,木曽駒ケ岳,2956m,2015/10/10,1
75,空木岳,2864m,2017/06/11,2
76,恵那山,2191m,2015/11/18,1
77,甲斐駒ケ岳,2967m,2015/09/19,1
78,仙丈ケ岳,3033m,2015/09/20,1
79,鳳凰山,2840m,2015/09/07,2
80,北岳,3192m,2016/09/04,1
81,間ノ岳,3189m,2016/09/04,1
82,塩見岳,3047m,2016/09/03,1
83,悪沢岳,3141m,2017/08/11,1
84,赤石岳,3120m,2017/08/11,1
85,聖岳,3013m,2017/08/12,1
86,光岳,2591m,2016/09/16,1
87,白山,2702m,2016/07/31,1
88,荒島岳,1524m,2016/03/13,1
89,伊吹山,1377m,2015/11/17,1
90,大台ケ原山,1695m,2015/08/13,1
91,大峰山,1915m,2016/08/20,1
92,大山,1709m,2016/03/17,1
93,剣山,1955m,2016/04/30,1
94,石鎚山,1982m,2016/04/29,1
95,九重山,1787m,2017/10/07,1
96,祖母山,1756m,2017/10/08,1
97,阿蘇山,1592m,2017/10/09,1
98,霧島山,1700m,2017/04/07,1
99,開聞岳,922m,2017/04/10,1
100,宮之浦岳,1936m,2017/04/09,1
