#,日付,ルート,タイプ,備考
37,12/18,榛名湖〜掃部ヶ岳〜榛名富士〜榛名湖,日帰り・ハイキング,
36,11/05,三つ峠駅〜三ツ峠山〜河口湖駅,日帰り・ハイキング,
35,10/15~16,新穂高温泉〜笠ヶ岳〜笠ヶ岳山荘[泊]〜新穂高温泉,山小屋泊・ピストン,
34,09/25,月山八合目〜月山〜月山八合目,日帰り・ピストン,
33,09/24,鉾立〜鳥海山〜鉾立,日帰り・ピストン,
32,09/16~18,沼平〜光岳〜光岳小屋[泊]〜茶臼岳〜上河内岳〜聖平小屋[泊]〜聖沢,山小屋泊・縦走,
31,09/10~11,一ノ沢〜常念岳〜蝶ヶ岳〜蝶ヶ岳ヒュッテ[泊]〜徳沢〜上高地,山小屋泊・縦走,
30,09/03~04,鳥倉〜塩見岳〜熊の平小屋[泊]〜間ノ岳〜北岳〜広河原,山小屋泊・縦走,
29,08/28,猪苗代駅〜磐梯山〜五色沼,日帰り・縦走,
28,08/20,川合〜大峰山〜トンネル西,日帰り・縦走,
27,08/11～14,折立〜薬師岳〜薬師峠[泊]〜黒部五郎岳〜三俣山荘[泊]〜鷲羽岳〜水晶岳〜三俣蓮華岳〜双六岳〜双六小屋[泊]〜新穂高温泉,テント泊・縦走,
26,08/07,蓼科山登山口〜蓼科山〜蓼科山登山口,日帰り・ピストン,
25,08/06,山本小屋〜美ヶ原〜山本小屋,日帰り・ハイキング,
24,07/30~31,別当出合〜南竜[泊]〜白山〜別当出合,テント泊・縦走,
23,07/24,小田越〜早池峰山〜小田越,日帰り・ピストン,
22,07/23,ロープウェイ頂上〜八甲田山〜酸ヶ湯温泉,日帰り・ハイキング,
21,07/16,小谷温泉〜雨飾山〜小谷温泉,日帰り・ピストン,
20,07/10,リフト頂上〜吾妻山〜リフト頂上,日帰り・ピストン,
19,07/02,中の湯〜焼岳〜中の湯＆乗鞍畳平〜乗鞍岳〜乗鞍畳平,日帰り・ピストン,
18,06/19,御池〜燧ヶ岳〜御池,日帰り・ピストン,
17,06/18,滝沢登山口〜会津駒ヶ岳〜滝沢登山口,日帰り・ピストン,
16,05/29,草津白根山,日帰り・ハイキング,
15,05/22,八島湿原〜霧ヶ峰〜車山肩,日帰り・ハイキング,
14,05/14,戸隠奥社入口〜戸隠山〜高妻山〜戸隠キャンプ場,日帰り・縦走,
13,05/07~08,清水〜巻機避難小屋[泊]〜巻機山〜清水,避難小屋泊・ピストン,
12,05/03,スカイライン八合目〜岩木山〜スカイライン八合目,日帰り・ピストン,
11,04/30,剣山,日帰り・ピストン,
10,04/29,石鎚山ロープウェイ〜石鎚山〜石鎚山ロープウェイ,日帰り・ピストン,
9,04/23,大山ケーブル〜丹沢大山〜ヤビツ峠〜蓑毛,日帰り・ハイキング,
8,04/09~10,徳ちゃん新道〜甲武信ヶ岳〜甲武信小屋[泊]〜徳ちゃん新道,テント泊・ピストン,残雪
7,03/17,夏山登山道〜伯耆大山〜夏山登山道,日帰り・ピストン,雪山
6,03/13,勝原駅〜荒島岳〜勝原駅,日帰り・ピストン,雪山
5,03/05,安達太良スキー場〜安達太良山〜安達太良スキー場,日帰り・ピストン,雪山
4,03/04,蔵王ロープウェイ〜蔵王山〜蔵王ロープウェイ,日帰り・ピストン,雪山
3,02/12,菅平ダボス〜四阿山〜菅平ダボス,日帰り・ピストン,雪山
2,02/09,浦山口〜武甲山〜浦山口,日帰り・ピストン,雪山
1,01/31,筑波山,日帰り・ハイキング,
