#,日付,ルート,タイプ,備考
39,2020/07/31~08/04,中房温泉〜燕岳〜大天荘[泊]〜槍ヶ岳山荘[泊]〜三俣山荘[泊]〜野口五郎岳[泊]〜烏帽子岳〜七倉山荘,小屋泊・縦走,表銀座〜裏銀座
38,2020/07/18~19,北八ヶ岳ロープウェイ〜北横岳〜大岳〜双子池[泊]〜双子山〜蓼科山〜蓼科山登山口,テント泊・ハイキング,
37,2020/07/11~12,鳩待峠〜見晴[泊]〜大清水,テント泊・ハイキング,尾瀬
36,2020/07/05,上養沢〜高岩山〜大塚山〜古里駅,日帰り・ハイキング,
35,2020/06/27,女夫松登山口〜孫三瓶山〜子三瓶山〜男三瓶山〜女三瓶山〜孫三瓶山〜女夫松登山口,日帰り・ハイキング,二百名山
34,2020/06/26,立久恵峡,日帰り・ハイキング,
33,2020/06/24,大山寺〜夏山登山道〜大山〜行者登山道〜豪円山〜大山寺,日帰り・ハイキング,
32,2020/06/20,国府津駅〜不動山〜上大井駅,日帰り・ハイキング,
31,2020/06/17,平標山登山口〜平標山〜仙ノ倉山〜平標山登山口,日帰り・ハイキング,二百名山
30,2020/06/14,山寺駅〜立石寺〜山寺駅,日帰り・ハイキング,
29,2020/06/13,蔵王ロープウェイ山頂駅〜熊野岳〜雁戸山〜関沢,日帰り・ハイキング,
28,2020/05/30,河合谷登山口〜扇ノ山〜河合谷登山口,日帰り・ハイキング,三百名山
27,2020/05/17,所沢駅〜八国山〜西武園駅,日帰り・ハイキング,
26,2020/05/09,藤野駅〜京塚山〜金剛山〜峰山〜石砂山〜藤野駅,日帰り・ハイキング,
25,2020/05/08,相原駅〜大日堂〜大塚山〜橋本駅,日帰り・ハイキング,
24,2020/05/05,港南台駅〜大丸山〜金沢文庫駅,日帰り・ハイキング,
23,2020/05/03,東府中駅〜浅間山〜多磨霊園駅,日帰り・ハイキング,
22,2020/05/02,大磯駅〜湘南平〜高麗山〜大磯駅,日帰り・ハイキング,
21,2020/05/01,半原〜北条武田合戦場のみち〜白山〜飯山観音前,日帰り・ハイキング,関東ふれあいの道
20,2020/04/30,風早橋〜仙元山〜畠山〜逸見駅,日帰り・ハイキング,
19,2020/04/26,今井谷戸〜七国山〜薬師池,日帰り・ハイキング,
18,2020/04/25,大月駅〜菊花山〜高畑山〜鳥沢駅,日帰り・ハイキング,
17,2020/04/19,寄〜鍋割山〜檜岳〜シダンゴ山〜寄,日帰り・ハイキング,
16,2020/04/12,高幡不動駅〜多摩丘陵散策〜南平駅,日帰り・ハイキング,
15,2020/04/11,沼津駅〜沼津アルプス〜原木駅,日帰り・ハイキング,
14,2020/04/05,若葉台駅〜天王森公園〜旧多摩聖蹟記念館〜聖蹟桜ヶ丘駅,日帰り・ハイキング,
13,2020/04/04,京急長沢駅〜三浦富士〜武山〜大楠芦名入口,日帰り・ハイキング,
12,2020/03/12,菅平〜根子岳〜小根子岳〜菅平,日帰り・ハイキング,
11,2020/03/07,青梅丘陵ハイキング,日帰り・ハイキング,
10,2020/02/24,小沢城址、ありがた山,日帰り・ハイキング,自転車ツーリング
09,2020/02/15,八方尾根ハイキング,日帰り・ハイキング,丸山手前まで
08,2020/02/10,竈門神社〜宝満山〜竈門神社,日帰り・ハイキング,
07,2020/02/09,神宮下〜英彦山〜神宮下,日帰り・ハイキング,
06,2020/01/19,奥多摩駅〜本仁田山〜川苔山〜川井駅,日帰り・ハイキング,
05,2020/01/13,彦根駅〜佐和山〜彦根駅,日帰り・ハイキング,
04,2020/01/11,比叡坂本駅〜比叡山〜比叡坂本駅,日帰り・ハイキング,
03,2020/01/04,岩舟駅〜晃石山〜大平山〜栃木駅,日帰り・ハイキング,関東ふれあいの道
02,2020/01/02,谷峨駅〜大野山〜洒水の滝〜北山駅,日帰り・ハイキング,
01,2020/01/01,御岳山駅〜日の出山〜麻生山〜金比羅山〜武蔵五日市駅,日帰り・ハイキング,初日の出
