#,日付,ルート,タイプ,備考
11,2021/02/05~06,美濃戸口〜赤岳鉱泉〜行者小屋[泊]〜赤岳〜美濃戸口,テント泊・雪山,
10,2021/01/31,青梅駅〜旧二ツ塚峠〜赤ぼっこ〜天狗岩〜和田町会館前,日帰り・ハイキング,
09,2021/01/25,山中湖〜大平山〜平尾山〜平野,日帰り・ハイキング,
08,2021/01/24,GMGゴルフ場〜天合峰〜GMGゴルフ場,日帰り・ハイキング,
07,2021/01/17,武蔵五日市駅〜天竺山〜唐松山〜武蔵増戸駅,日帰り・ハイキング,
06,2021/01/11,津久井湖観光センター前〜津久井城山〜クラブ前,日帰り・ハイキング,
05,2021/01/10,日影〜城山北東尾根〜城山〜景信山〜影信東尾根〜木下沢梅林,日帰り・ハイキング,
04,2021/01/09,梅の木平〜草戸山〜中沢峠〜梅の木平,日帰り・ハイキング,
03,2021/01/03,武蔵増戸駅〜網代城跡〜武蔵五日市駅,日帰り・ハイキング,
02,2021/01/02,大月駅〜花咲山〜真木お伊勢山〜上真木,日帰り・ハイキング,
01,2021/01/01,宮の前〜太鼓曲輪尾根〜富士見台〜八王子城跡〜八王子城跡入口,日帰り・ハイキング,
